Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Desa ParkCity, Kuala Lumpur",1100000.0,3,3,2,Condominium,"Built-up : 1,378 sq. ft.",Unfurnished
"Desa ParkCity, Kuala Lumpur",1980000.0,4,4,3,Landed,Land area : 22x75 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",1300000.0,3,2,2,Townhouse,Land area : 24x55 sq. ft.,Partly Furnished
"Taman Melawati, Kuala Lumpur",2800000.0,5,6,4,Luxury,Land area : 5628 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",3600000.0,4,5,2,Condominium,"Built-up : 3,897 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",3900000.0,2,2,2,Condominium,"Built-up : 1,636 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1300000.0,1,1,1,Condominium,Built-up : 925 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",438000.0,3,2,1,Apartment,"Built-up : 1,018 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",530000.0,4,2,1,Condominium,Built-up : 900 sq. ft.,Partly Furnished
"Setiawangsa, Kuala Lumpur",590000.0,3,2,2,Condominium,"Built-up : 1,196 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1000000.0,1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1900000.0,3,2,1,Condominium,Built-up : 915 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",2400000.0,2,2,1,Condominium,"Built-up : 1,006 sq. ft.",Fully Furnished
"Setapak, Kuala Lumpur",380000.0,4,2,2,Condominium,Built-up : 950 sq. ft.,Unfurnished
"KLCC, Kuala Lumpur",1198000.0,2,1,1,Condominium,Built-up : 764 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",1000000.0,0,1,1,Condominium,Built-up : 657 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",12000000.0,7,6,4,Luxury,Land area : 11500 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1280000.0,4,3,2,Landed,Land area : 25x75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1780000.0,1,1,1,Condominium,Built-up : 728 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",2300000.0,1,1,1,Condominium,"Built-up : 1,023 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur",1340000.0,5,6,4,Landed,Land area : 24x80 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur",1600000.0,5,6,4,Landed,Land area : 10+24 x 80 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1000000.0,1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",800000.0,3,3,1,Condominium,"Built-up : 1,055 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur",320000.0,4,2,2,Condominium,Land area : 646sf~1001sf sq. ft.,Unfurnished
"KLCC, Kuala Lumpur",3600000.0,4,5,2,Condominium,"Built-up : 3,897 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur",6000000.0,5,5,2,Condominium,"Built-up : 4,157 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1090000.0,3,2,2,Landed,Land area : 24x80 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1250000.0,4,4,2,Condominium,"Built-up : 1,378 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",2300000.0,1,2,1,Condominium,"Built-up : 1,023 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1330000.0,4,3,2,Landed,Land area : 24x75 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",900000.0,5,3,3,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1850000.0,5,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2400000.0,2,2,1,Condominium,"Built-up : 1,006 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur",1613300.0,4,5,3,Condominium,"Built-up : 2,336 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2440000.0,1,2,1,Condominium,"Built-up : 1,023 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur",5000000.0,4,3,4,Luxury,Land area : 7700 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur",7300000.0,6,6,6,Luxury,Land area : 7300 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1850000.0,5,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur",783990.0,1,1,1,Condominium,Built-up : 650 sq. ft.,Partly Furnished
"Chan Sow Lin, Kuala Lumpur",569200.0,2,2,2,Condominium,Built-up : 888 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur",439600.0,3,2,2,Condominium,Land area : 850sf~1000sf sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1150000.0,3,2,1,Condominium,"Built-up : 1,560 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",425000.0,4,2,1,Condominium,Land area : 1087 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",10000000.0,6,7,5,Condominium,"Built-up : 6,913 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1800000.0,4,4,2,Condominium,"Built-up : 2,243 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",439600.0,3,2,2,Condominium,Land area : 850-1000 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur",580000.0,3,2,1,Condominium,"Built-up : 1,590 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",618000.0,1,1,1,Condominium,Land area : 650 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",1518000.0,4,3,3,Condominium,"Built-up : 2,648 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",2220000.0,5,4,3,Condominium,"Built-up : 2,973 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",3600000.0,4,4,2,Condominium,"Built-up : 3,897 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1150000.0,3,2,2,Landed,Land area : 22x80 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur",2800000.0,5,4,3,Landed,"Land area : 2850, 38x75 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",3100000.0,5,4,3,Landed,Land area : 3600 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1380000.0,4,3,2,Landed,Land area : 23x75 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1450000.0,3,2,2,Landed,"Land area : 24x80, 1920 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur",4900000.0,7,4,4,Luxury,Land area : 11676 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1680000.0,4,3,4,Landed,Land area : 24x75 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur",1550000.0,4,3,2,Landed,Land area : 24x80 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur",1950000.0,4,4,3,Condominium,"Built-up : 2,535 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",3600000.0,4,4,2,Condominium,"Built-up : 3,897 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur",600000.0,3,2,2,Condominium,Land area : 1025 sq. ft.,Partly Furnished
"City Centre, Kuala Lumpur",4130000.0,5,5,2,Condominium,"Built-up : 3,713 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1780000.0,3,3,2,Condominium,"Built-up : 1,232 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",900000.0,5,3,3,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur",6380000.0,4,5,3,Condominium,"Built-up : 4,025 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur",6900000.0,5,6,3,Condominium,"Built-up : 4,945 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",660000.0,3,2,2,Condominium,Land area : 992 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",3125000.0,2,2,2,Condominium,"Built-up : 1,421 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2480000.0,1,1,1,Condominium,"Built-up : 1,023 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur",4000000.0,5,5,2,Landed,Land area : 3700 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1050000.0,4,4,2,Condominium,"Built-up : 1,313 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1833000.0,1,1,1,Condominium,Built-up : 925 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",2999000.0,4,3,3,Condominium,"Built-up : 2,066 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",638000.0,2,1,1,Condominium,Built-up : 721 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",6842500.0,4,5,4,Condominium,"Built-up : 4,025 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur",8476050.0,5,5,4,Condominium,"Built-up : 5,137 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1415000.0,4,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1380000.0,4,4,2,Condominium,"Built-up : 1,701 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur",8280000.0,5,6,4,Condominium,"Built-up : 5,137 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur",3690000.0,5,5,6,Landed,Land area : 3658 sq. ft.,Unfurnished
"Sri Petaling, Kuala Lumpur",950000.0,5,3,2,Landed,Land area : 1650 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",4000000.0,7,7,4,Luxury,Land area : 5337 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",9960000.0,6,7,6,Condominium,"Built-up : 6,913 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur",6660000.0,4,5,3,Condominium,"Built-up : 4,771 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur",6300000.0,4,5,3,Condominium,"Built-up : 4,025 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur",628000.0,3,2,1,Condominium,"Built-up : 1,150 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur",628000.0,3,2,1,Condominium,"Built-up : 1,150 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1590000.0,4,4,2,Condominium,"Built-up : 1,878 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",3330000.0,3,3,1,Condominium,"Built-up : 2,789 sq. ft.",Fully Furnished
"Setapak, Kuala Lumpur",428000.0,4,2,2,Condominium,Built-up : 918 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur",2250000.0,6,5,7,Landed,Land area : 40+30 X 80 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",7500000.0,4,5,4,Condominium,"Built-up : 4,025 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1450000.0,2,2,1,Condominium,Built-up : 867 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",1000000.0,1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",2600000.0,5,5,3,Condominium,"Built-up : 3,478 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",2750000.0,4,4,2,Condominium,"Built-up : 2,426 sq. ft.",Partly Furnished
"Seputeh, Kuala Lumpur",5500000.0,6,6,4,Luxury,Land area : 5446 sq. ft.,Fully Furnished
"Setapak, Kuala Lumpur",428000.0,4,2,2,Condominium,Built-up : 918 sq. ft.,Unfurnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur",14800000.0,8,9,6,Luxury,Land area : 12000 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",28000000.0,14,16,10,Luxury,Land area : 26000 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1800000.0,4,3,3,Landed,Land area : 22x95 sq. ft.,Partly Furnished
"Sentul, Kuala Lumpur",770000.0,3,3,2,Condominium,"Built-up : 1,186 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur",3600000.0,7,7,5,Luxury,Land area : 5000 sq. ft.,Unfurnished
"KLCC, Kuala Lumpur",1200000.0,2,2,1,Condominium,Built-up : 976 sq. ft.,Partly Furnished
"Segambut, Kuala Lumpur",720000.0,4,3,2,Condominium,"Built-up : 1,577 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",1150000.0,6,3,4,Condominium,"Built-up : 1,772 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",928000.0,4,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur",1680000.0,6,4,6,Landed,Land area : 48x85 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",1350000.0,2,2,1,Condominium,Built-up : 900 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",360000.0,3,2,1,Condominium,"Built-up : 1,088 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1000000.0,1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",868000.0,5,4,2,Landed,Land area : 23x75 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1865000.0,4,5,3,Condominium,"Built-up : 2,535 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1308000.0,2,1,1,Condominium,Built-up : 753 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",1760000.0,3,2,2,Condominium,"Built-up : 1,159 sq. ft.",Fully Furnished
"Sungai Besi, Kuala Lumpur",568000.0,2,2,2,Condominium,Built-up : 904 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1020000.0,3,2,1,Condominium,Built-up : 813 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",2400000.0,2,2,1,Condominium,"Built-up : 1,103 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1099000.0,3,2,1,Condominium,Built-up : 833 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur",1850000.0,4,3,3,Landed,Land area : 22x75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1550000.0,2,2,2,Condominium,Land area : 910 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",1420000.0,4,4,2,Condominium,"Built-up : 1,496 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1280000.0,4,3,2,Landed,Land area : 24x75 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1060000.0,3,2,2,Landed,Land area : 24x80 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur",2550000.0,5,5,2,Condominium,"Built-up : 2,973 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",980000.0,5,3,2,Condominium,"Built-up : 1,513 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur",2650000.0,4,5,3,Condominium,"Built-up : 2,077 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",3364000.0,3,2,2,Condominium,"Built-up : 1,399 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1420000.0,3,2,1,Condominium,Built-up : 976 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",2889000.0,1,2,1,Condominium,"Built-up : 1,163 sq. ft.",Fully Furnished
"City Centre, Kuala Lumpur",1080000.0,2,2,1,Condominium,"Built-up : 1,411 sq. ft.",Partly Furnished
"City Centre, Kuala Lumpur",916000.0,1,1,1,Condominium,"Built-up : 1,119 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",2500000.0,6,4,4,Landed,"Built-up : 3,833 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur",2200000.0,5,5,5,Landed,Land area : 3282 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur",3600000.0,5,4,6,Luxury,Land area : 9670 sq. ft.,Unfurnished
"Taman Tun Dr Ismail, Kuala Lumpur",5000000.0,8,5,3,Luxury,Land area : 6000 sq. ft.,Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",2780000.0,4,3,2,Landed,Land area : 45x80 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",600000.0,4,3,2,Landed,Land area : 22x75 sq. ft.,Unfurnished
"Sungai Besi, Kuala Lumpur",1000000.0,5,4,2,Landed,Land area : 20x80 sq. ft.,Partly Furnished
"KL Sentral, Kuala Lumpur",2434900.0,4,4,1,Condominium,Land area : 1873 sq. ft.,Unfurnished
"Damansara Heights, Kuala Lumpur",1600000.0,2,2,1,Condominium,"Built-up : 1,152 sq. ft.",Partly Furnished
"Taman Melawati, Kuala Lumpur",2000000.0,6,6,3,Landed,Land area : 3200 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",535000.0,1,1,1,Condominium,Built-up : 762 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur",1300000.0,5,6,4,Landed,Land area : 24x80 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1200000.0,3,3,2,Condominium,"Built-up : 1,335 sq. ft.",Fully Furnished
"KL Sentral, Kuala Lumpur",2550000.0,4,5,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur",2590000.0,6,6,2,Luxury,Land area : 58x80 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur",1480000.0,4,4,2,Condominium,"Built-up : 1,876 sq. ft.",Fully Furnished
"Sungai Besi, Kuala Lumpur",1348000.0,5,6,4,Landed,"Built-up : 3,216 sq. ft.",Unfurnished
"Setapak, Kuala Lumpur",428000.0,4,2,2,Condominium,Built-up : 918 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",618000.0,1,1,1,Condominium,Built-up : 462 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",1590000.0,4,3,2,Condominium,"Built-up : 2,201 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1700000.0,4,4,2,Condominium,"Built-up : 1,496 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1950000.0,5,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2300000.0,1,1,2,Condominium,"Built-up : 1,023 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1250000.0,3,3,2,Condominium,"Built-up : 1,335 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",3166000.0,2,2,1,Condominium,"Built-up : 1,423 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",370000.0,3,2,2,Condominium,Built-up : 950 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1000000.0,1,1,1,Condominium,Built-up : 751 sq. ft.,Fully Furnished
"Bangsar, Kuala Lumpur",6600000.0,4,5,3,Condominium,"Built-up : 4,025 sq. ft.",Unknown
"Bangsar, Kuala Lumpur",7400000.0,5,5,5,Condominium,"Built-up : 5,137 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur",12800000.0,7,9,10,Luxury,Land area : 8000 sq. ft.,Fully Furnished
"Damansara Heights, Kuala Lumpur",4500000.0,6,7,3,Luxury,Land area : 2970 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",6800000.0,7,6,6,Luxury,Land area : 7416 sq. ft.,Partly Furnished
"KL Eco City, Kuala Lumpur",1288972.0,2,2,1,Condominium,"Built-up : 1,076 sq. ft.",Fully Furnished
"KL Sentral, Kuala Lumpur",3700000.0,3,3,1,Condominium,"Built-up : 1,738 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",410000.0,2,2,2,Condominium,Built-up : 885 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1600000.0,4,3,2,Landed,Land area : 23x75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",3360000.0,2,2,2,Condominium,"Built-up : 1,421 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur",1770000.0,2,2,1,Condominium,"Built-up : 1,152 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1860000.0,4,4,2,Condominium,"Built-up : 2,070 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1450000.0,2,2,1,Condominium,"Built-up : 1,050 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",1060000.0,5,4,4,Condominium,"Built-up : 1,772 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",900000.0,5,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1080000.0,4,4,2,Condominium,"Built-up : 1,875 sq. ft.",Partly Furnished
"Pantai, Kuala Lumpur",570000.0,3,2,1,Condominium,Land area : 1200 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1880000.0,4,3,2,Condominium,"Built-up : 2,243 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1685000.0,4,3,2,Condominium,"Built-up : 2,038 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",550000.0,3,2,2,Condominium,"Built-up : 1,073 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1000000.0,1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur",490000.0,5,3,2,Landed,Land area : 20x65 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur",1250000.0,5,5,4,Landed,Land area : 22x85 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",2500000.0,1,2,1,Condominium,"Built-up : 1,023 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur",2044800.0,2,2,1,Condominium,Built-up : 912 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur",1250000.0,4,4,2,Condominium,"Built-up : 1,700 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",4950000.0,4,4,2,Condominium,"Built-up : 3,300 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",2340000.0,5,5,3,Condominium,Land area : 0 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1698000.0,4,4,2,Condominium,Land area : 0 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1420000.0,4,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",928000.0,4,2,2,Condominium,"Built-up : 1,523 sq. ft.",Unfurnished
"Bukit Jalil, Kuala Lumpur",565000.0,3,2,2,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1550000.0,4,4,4,Condominium,"Built-up : 2,638 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1800000.0,4,3,3,Landed,Land area : 25x75 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur",3200000.0,5,5,4,Landed,Land area : 3670 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",670000.0,3,2,2,Condominium,Built-up : 907 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",1000000.0,1,1,1,Condominium,Built-up : 657 sq. ft.,Partly Furnished
"City Centre, Kuala Lumpur",5999000.0,4,4,3,Condominium,"Built-up : 3,289 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",2230000.0,5,5,3,Condominium,"Built-up : 2,973 sq. ft.",Partly Furnished
"City Centre, Kuala Lumpur",830000.0,2,2,1,Condominium,"Built-up : 1,072 sq. ft.",Fully Furnished
"City Centre, Kuala Lumpur",1100000.0,4,4,2,Condominium,"Built-up : 2,111 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur",8300000.0,6,6,4,Luxury,Land area : 6103 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur",3450000.0,5,5,3,Luxury,Land area : 5200 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",2300000.0,1,2,1,Condominium,"Built-up : 1,023 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",3600000.0,4,5,2,Condominium,"Built-up : 3,897 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",2300000.0,5,4,2,Condominium,"Built-up : 2,702 sq. ft.",Unknown
"KLCC, Kuala Lumpur",1000000.0,1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",4756000.0,2,2,2,Condominium,"Built-up : 1,399 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1780000.0,3,3,2,Condominium,"Built-up : 1,523 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1350000.0,2,2,1,Condominium,Built-up : 900 sq. ft.,Fully Furnished
"Sentul, Kuala Lumpur",375000.0,2,2,1,Condominium,Built-up : 743 sq. ft.,Unfurnished
"Bangsar South, Kuala Lumpur",380000.0,2,1,1,Apartment,Built-up : 452 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",970000.0,1,1,1,Condominium,Built-up : 603 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur",900000.0,4,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",1060000.0,5,4,4,Condominium,"Built-up : 1,772 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",4250000.0,5,6,2,Condominium,"Built-up : 3,300 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur",2300000.0,5,5,3,Condominium,"Built-up : 2,454 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur",520000.0,4,2,2,Condominium,"Built-up : 1,450 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur",1420000.0,4,3,2,Condominium,"Built-up : 1,582 sq. ft.",Fully Furnished
"KL Sentral, Kuala Lumpur",1065140.0,3,3,2,Condominium,"Built-up : 1,025 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1299000.0,2,2,1,Condominium,Built-up : 900 sq. ft.,Fully Furnished
"Bangsar, Kuala Lumpur",7600000.0,5,5,3,Condominium,"Built-up : 4,771 sq. ft.",Unfurnished
"KLCC, Kuala Lumpur",1238000.0,2,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",2390000.0,5,4,3,Condominium,"Built-up : 3,043 sq. ft.",Unfurnished
"Bukit Jalil, Kuala Lumpur",850000.0,3,2,2,Condominium,"Built-up : 1,335 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",14500000.0,7,8,5,Luxury,Land area : 8600 sq. ft.,Fully Furnished
"KL Sentral, Kuala Lumpur",4718680.0,5,5,4,Condominium,"Built-up : 3,143 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur",14800000.0,12,8,6,Luxury,Land area : 6507 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",9900000.0,7,8,2,Luxury,Land area : 8700 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",5000000.0,6,6,4,Landed,Land area : 4800 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1850000.0,4,3,2,Condominium,"Built-up : 2,020 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",3360000.0,2,2,2,Condominium,"Built-up : 1,572 sq. ft.",Partly Furnished
